Displayed name,Choco pack name,WinGet pack name,icon file format or <local.format>,Extra link
*Internet,,,,
Brave,brave,BraveSoftware.BraveBrowser,svg,
Opera,opera,Opera.Opera,svg,
Github Desktop,github-desktop,,,
Discord,discord,Discord.Discord,svg,
Skype,skype,Microsoft.Skype,,
Telegram,telegram,Telegram.TelegramDesktop,,
,,,,
,,,,
*Daily used,,,,
Total Commander,totalcommander,Ghisler.TotalCommander,,
KeePassXC,keepassxc,KeePassXCTeam.KeePassXC,svg,
Syncthing,syncthing,SyncTrayzor.SyncTrayzor,,
Syncthing Tray,syncthingtray,,,
Obsidian,obsidian,,,
Aomei Backup,backupper-standard,AOMEI.Backupper,,
Microsoft to do,,9NBLGGH5R558,local.svg,
,,,,
*Windows,,,,
Everything,everything,voidtools.Everything,,
F.Lux,f.lux,,,
HwInfo,hwinfo,REALiX.HWiNFO,,
Wiztree,wiztree,AntibodySoftware.WizTree,,
Ventoy,ventoy,ventoy.Ventoy,,
Autoruns,autoruns,Microsoft.Sysinternals.Autoruns,,
RevoUninstallerFree,revo-uninstaller,RevoUninstaller.RevoUninstaller,,
,,,,
*PC Hardware,,,,
GeforceExperience,geforce-experience,Nvidia.GeForceExperience,,
Wacom drivers,wacom-drivers,Wacom.WacomTabletDriver,,
CPU-Z,cpu-z,CPUID.CPU-Z,,
Crystal Disk Info portable,crystaldiskinfo.portable,CrystalDewWorld.CrystalDiskInfo,,
Display Driver Uninstaller,ddu,,,
NVIDIA Profile Inspector,nvidia-profile-inspector,,,
Geforce Game Ready Driver,geforce-game-ready-driver,,,
,,,,
*Games,,,,
Steam,steam,Valve.Steam,,
Epic Games launcher,epicgameslauncher,EpicGames.EpicGamesLauncher,svg,
DS4Windows,ds4windows,,,
Steam Cleaner,steam-cleaner,,,
Valorant,valorant,RiotGames.Valorant.EU,,
Ubisoft Connect,ubisoft-connect,Ubisoft.Connect,,
OutPlayed,,,local.png,
,,,,
*Media view & edit,,,,
Irfanview,irfanview,IrfanSkiljan.IrfanView,,
Pot player,potplayer,Daum.PotPlayer,,
OBS Studio,obs-studio,OBSProject.OBSStudio,,
Imageglass,imageglass,DuongDieuPhap.ImageGlass,svg,
LosslessCut,lossless-cut,,,
Reaper,reaper,Cockos.REAPER,,
HandBrake,handbrake,HandBrake.HandBrake,,
,,,,
,,,,
*Not used atm,,,,
ThrottleStop,throttlestop,,local.png,
NirLauncher,nirlauncher,,,
PicPick,picpick.portable,NGWIN.PicPick,,
ProcessLasso,plasso,BitSum.ProcessLasso,,
Kaspersky Security Cloud,,Kaspersky.SecurityCloud,local.svg,
ISLC - standby list cleaner,,,,
Mozilla Thunder bird,,Mozilla.Thunderbird,local.jpg,
Firefox,firefox,Mozilla.Firefox,svg,
Opera-gx,opera-gx,Opera.OperaGX,,
FDMtorrent,freedownloadmanager,SoftDeluxe.FreeDownloadManager,local.png,
,,,,
,,,,
*Code && other hobbies,,,,
Pycharm community,pycharm-community,JetBrains.PyCharm.Community,,
Python,python,Python.Python.3.10,svg,
VS 22 community,visualstudio2022community,,,
VSCode,vscode,Microsoft.VisualStudioCode,,
VMware Workstation Player,vmware-workstation-player,VMware.WorkstationPro,,
Praat,praat,,,
Audacity,audacity,Audacity.Audacity,svg,
Chocolatey GUI,chocolateygui,Chocolatey.ChocolateyGUI,,
Choco Cleaner,choco-cleaner,,,
Caustic,,,local.png,
,,,,
*Situational,,,,
Disable Win Tracking,disablewintracking,,local.gif,
Disable Win Defender(Config),disabledefender-winconfig,,,
Dell update,dell-update,Dell.CommandUpdate,,
BleachBit,bleachbit,BleachBit.BleachBit,svg,
Eraser,eraser,Eraser.Eraser,,
LockHunter,lockhunter,CrystalRich.LockHunter,,
Disk Drill,,,local.webp,
MiniTool Partition Wizard,partitionwizard,MiniTool.PartitionWizard.Free,,
,,,,
*Tweakers,,,,
Winaero Tweaker,winaero-tweaker,,,
Glary Utilities,glaryutilities-free,Glarysoft.GlaryUtilities,,
Dism++,dismplusplus,,,
win10 tweaker,,,local.png,https://win10tweaker.ru/
privatezilla,,,local.ico,
Booster X,,,local.png,
OOSU10,,,local.png,
reg organiser,,,local.png,
Ultimate win tweaker,,,local.svg,
,,,,
%Pack 1,,,,
Brave,brave,Brave.Brave,svg,
Totalcommander,totalcommander,Ghisler.TotalCommander,,
Keepassxc,keepassxc,KeePassXCTeam.KeePassXC,svg,
Aomeibackup,backupper-standard,AOMEI.Backupper,,
HwInfo,hwinfo,REALiX.HWiNFO,,
VSCode,vscode,Microsoft.VisualStudioCode,,
,,,,
#<h4> Not tested progs </h4>
#
#darktable gimp inkscape krita - Photo edit
#kdenlive olive openshot - Video edit
#lmms - Music creation
#scribus sublime text  - Docs(page-proofs)
#only office - office
#kodi - sync cinema
#
# VPN - Aman vpn (Marty files); Privado
#Android
#
#* PC debugging:
#   * adb app control
#   * xiaomi adb fastboot tool
#\\\
